team_ID,year_ID,WAR_bat,WAR_pitch,W,won_world_series
TBR,2010,36.09,12.82,96,0
NYY,2010,35.25,14.94,95,0
BOS,2010,32.32,14.52,89,0
TOR,2010,23.59,15.67,85,0
BAL,2010,11.92,12.180000000000001,66,0
MIN,2010,26.43,18.82,94,0
CHW,2010,16.73,24.84,88,0
DET,2010,27.34,9.31,81,0
CLE,2010,18.04,8.790000000000001,69,0
KCR,2010,10.39,13.17,67,0
TEX,2010,21.78,22.88,90,0
OAK,2010,25.59,15.74,81,0
LAA,2010,16.28,14.15,80,0
SEA,2010,8.93,12.680000000000001,61,0
PHI,2010,22.43,22.68,97,0
ATL,2010,24.49,16.85,91,0
FLA,2010,13.61,15.620000000000001,80,0
NYM,2010,16.94,13.86,79,0
WSN,2010,12.43,7.260000000000001,69,0
CIN,2010,31.22,9.74,91,0
STL,2010,25.68,13.71,86,0
MIL,2010,26.58,-0.12999999999999967,77,0
HOU,2010,3.7300000000000004,12.81,76,0
CHC,2010,9.72,13.39,75,0
PIT,2010,-0.6499999999999998,3.74,57,0
SFG,2010,22.240000000000002,21.09,92,1
SDP,2010,23.009999999999998,12.94,90,0
COL,2010,19.0,17.65,83,0
LAD,2010,9.68,17.97,80,0
ARI,2010,17.13,0.3100000000000005,65,0
NYY,2011,30.13,23.52,97,0
TBR,2011,33.81,16.72,91,0
BOS,2011,36.24,13.78,90,0
TOR,2011,18.18,16.69,81,0
BAL,2011,17.38,4.47,69,0
DET,2011,28.16,13.62,95,0
CLE,2011,17.88,12.23,80,0
CHW,2011,10.21,21.82,79,0
KCR,2011,26.18,9.87,71,0
MIN,2011,3.83,9.31,63,0
TEX,2011,33.71,20.89,96,0
LAA,2011,27.09,14.860000000000001,86,0
OAK,2011,10.28,20.349999999999998,74,0
SEA,2011,11.31,12.309999999999999,67,0
PHI,2011,17.64,36.449999999999996,102,0
ATL,2011,13.65,18.23,89,0
WSN,2011,15.14,12.370000000000001,80,0
NYM,2011,19.08,7.62,77,0
FLA,2011,9.13,17.11,72,0
MIL,2011,24.990000000000002,14.79,96,0
STL,2011,27.27,9.58,90,1
CIN,2011,26.35,5.45,79,0
PIT,2011,9.15,10.82,72,0
CHC,2011,14.360000000000001,7.130000000000001,71,0
HOU,2011,15.89,-2.3400000000000003,56,0
ARI,2011,25.9,8.2,94,0
SFG,2011,16.49,14.44,86,0
LAD,2011,18.49,15.93,82,0
COL,2011,15.490000000000002,12.7,73,0
SDP,2011,15.06,11.08,71,0
NYY,2012,29.73,21.18,95,0
BAL,2012,15.4,22.65,93,0
TBR,2012,21.5,24.05,90,0
TOR,2012,21.95,6.260000000000001,73,0
BOS,2012,22.950000000000003,0.3200000000000002,69,0
DET,2012,16.68,26.21,88,0
CHW,2012,20.72,21.669999999999998,85,0
KCR,2012,16.82,14.81,72,0
CLE,2012,17.56,2.5799999999999996,68,0
MIN,2012,24.36,0.7199999999999998,66,0
OAK,2012,24.240000000000002,23.54,94,0
TEX,2012,23.76,21.16,93,0
LAA,2012,38.8,6.8,89,0
SEA,2012,15.67,18.69,75,0
WSN,2012,22.080000000000002,23.79,98,0
ATL,2012,24.94,12.120000000000001,94,0
PHI,2012,18.07,11.99,81,0
NYM,2012,13.61,9.89,74,0
MIA,2012,4.26,16.93,69,0
CIN,2012,19.56,22.080000000000002,97,0
STL,2012,29.33,11.59,88,0
MIL,2012,23.41,6.16,83,0
PIT,2012,15.299999999999999,10.86,79,0
CHC,2012,11.040000000000001,5.71,61,0
HOU,2012,2.8699999999999997,7.96,55,0
SFG,2012,29.96,7.72,94,1
LAD,2012,13.87,22.31,86,0
ARI,2012,21.63,11.65,81,0
SDP,2012,21.39,4.32,76,0
COL,2012,8.5,14.51,64,0
BOS,2013,39.36,15.06,97,1
TBR,2013,26.91,13.07,92,0
BAL,2013,24.88,10.48,85,0
NYY,2013,12.65,15.549999999999999,85,0
TOR,2013,23.45,9.23,74,0
DET,2013,25.74,27.72,93,0
CLE,2013,27.060000000000002,11.7,92,0
KCR,2013,21.81,17.66,86,0
MIN,2013,12.91,7.82,66,0
CHW,2013,3.01,20.84,63,0
OAK,2013,23.44,21.169999999999998,96,0
TEX,2013,28.12,19.26,91,0
LAA,2013,24.02,10.52,78,0
SEA,2013,12.440000000000001,11.520000000000001,71,0
HOU,2013,5.119999999999999,3.6700000000000004,51,0
ATL,2013,25.12,19.87,96,0
WSN,2013,17.86,13.620000000000001,86,0
NYM,2013,15.58,7.720000000000001,74,0
PHI,2013,7.029999999999999,11.01,73,0
MIA,2013,0.7299999999999999,18.28,62,0
STL,2013,20.36,23.21,97,0
PIT,2013,24.55,15.57,94,0
CIN,2013,22.98,19.650000000000002,90,0
MIL,2013,17.11,5.29,74,0
CHC,2013,15.08,10.73,66,0
LAD,2013,29.49,18.18,92,0
ARI,2013,24.34,5.59,81,0
SDP,2013,19.81,3.7600000000000002,76,0
SFG,2013,23.15,4.1,76,0
COL,2013,14.870000000000001,18.22,74,0
BAL,2014,29.75,16.4,96,0
NYY,2014,16.38,13.690000000000001,84,0
TOR,2014,27.56,12.4,83,0
TBR,2014,18.43,17.84,77,0
BOS,2014,19.38,5.12,71,0
DET,2014,26.57,17.2,90,0
KCR,2014,20.09,21.73,89,0
CLE,2014,15.29,24.259999999999998,85,0
CHW,2014,18.69,8.510000000000002,73,0
MIN,2014,16.720000000000002,10.12,70,0
LAA,2014,31.39,15.57,98,0
OAK,2014,27.06,18.59,88,0
SEA,2014,18.83,19.61,87,0
HOU,2014,17.11,6.199999999999999,70,0
TEX,2014,11.98,8.07,67,0
WSN,2014,23.07,24.53,96,0
ATL,2014,12.790000000000001,18.57,79,0
NYM,2014,20.37,9.61,79,0
MIA,2014,16.24,14.139999999999999,77,0
PHI,2014,10.36,15.09,73,0
STL,2014,21.16,13.37,90,0
PIT,2014,27.83,10.31,88,0
MIL,2014,14.01,14.3,82,0
CIN,2014,15.959999999999999,12.46,76,0
CHC,2014,9.66,15.84,73,0
LAD,2014,33.160000000000004,15.64,94,0
SFG,2014,21.04,11.95,88,1
SDP,2014,11.81,12.65,77,0
COL,2014,21.89,3.9099999999999997,66,0
ARI,2014,14.01,2.4699999999999998,64,0
TOR,2015,33.42,14.530000000000001,93,0
NYY,2015,20.62,20.48,87,0
BAL,2015,19.59,14.18,81,0
TBR,2015,21.87,16.01,80,0
BOS,2015,22.96,14.17,78,0
KCR,2015,25.48,18.74,95,1
MIN,2015,13.23,16.23,83,0
CLE,2015,15.98,21.799999999999997,81,0
CHW,2015,12.9,12.39,76,0
DET,2015,22.81,2.64,74,0
TEX,2015,20.04,14.25,88,0
HOU,2015,29.94,16.7,86,0
LAA,2015,21.75,10.290000000000001,85,0
SEA,2015,16.48,14.07,76,0
OAK,2015,19.68,8.83,68,0
NYM,2015,17.88,19.95,90,0
WSN,2015,16.86,19.49,83,0
MIA,2015,19.31,5.93,71,0
ATL,2015,9.54,7.3999999999999995,67,0
PHI,2015,8.47,5.31,63,0
STL,2015,20.21,29.91,100,0
PIT,2015,21.97,19.08,98,0
CHC,2015,21.43,17.58,97,0
MIL,2015,12.38,7.98,68,0
CIN,2015,16.28,5.87,64,0
LAD,2015,26.330000000000002,18.07,92,0
SFG,2015,26.18,14.3,84,0
ARI,2015,27.89,7.72,79,0
SDP,2015,15.84,5.87,74,0
COL,2015,11.14,10.33,68,0
BOS,2016,38.62,13.33,93,0
BAL,2016,22.42,17.63,89,0
TOR,2016,24.07,19.36,89,0
NYY,2016,14.36,18.099999999999998,84,0
TBR,2016,20.66,11.01,68,0
CLE,2016,22.18,20.73,94,0
DET,2016,19.599999999999998,20.220000000000002,86,0
KCR,2016,16.71,16.08,81,0
CHW,2016,20.07,15.129999999999999,78,0
MIN,2016,13.47,4.0200000000000005,59,0
TEX,2016,17.92,17.79,95,0
SEA,2016,24.5,12.93,86,0
HOU,2016,30.24,6.98,84,0
LAA,2016,23.939999999999998,5.9799999999999995,74,0
OAK,2016,8.129999999999999,15.959999999999999,69,0
WSN,2016,19.71,25.05,95,0
NYM,2016,16.51,21.35,87,0
MIA,2016,20.18,11.31,79,0
PHI,2016,6.13,6.4,71,0
ATL,2016,11.3,7.79,68,0
CHC,2016,33.5,22.27,103,1
STL,2016,22.740000000000002,16.71,86,0
PIT,2016,15.989999999999998,11.67,78,0
MIL,2016,13.729999999999999,13.01,73,0
CIN,2016,13.510000000000002,4.510000000000001,68,0
LAD,2016,21.96,17.28,91,0
SFG,2016,25.419999999999998,17.03,87,0
COL,2016,20.520000000000003,8.87,75,0
ARI,2016,16.67,5.73,69,0
SDP,2016,13.25,5.82,68,0
BOS,2017,20.43,20.54,93,0
NYY,2017,29.400000000000002,23.16,91,0
TBR,2017,21.52,11.42,80,0
TOR,2017,12.66,14.15,76,0
BAL,2017,20.15,6.79,75,0
CLE,2017,27.61,31.48,102,0
MIN,2017,29.08,9.12,85,0
KCR,2017,10.19,18.72,80,0
CHW,2017,16.69,8.549999999999999,67,0
DET,2017,9.780000000000001,12.9,64,0
HOU,2017,39.74,13.6,101,1
LAA,2017,20.32,10.92,80,0
SEA,2017,25.4,9.32,78,0
TEX,2017,15.12,16.75,78,0
OAK,2017,19.34,7.9,75,0
WSN,2017,21.34,26.03,97,0
MIA,2017,30.5,-2.95,77,0
ATL,2017,12.17,8.129999999999999,72,0
NYM,2017,17.740000000000002,3.46,70,0
PHI,2017,13.419999999999998,13.159999999999998,66,0
CHC,2017,26.62,14.93,92,0
MIL,2017,17.04,18.28,86,0
STL,2017,21.63,13.32,83,0
PIT,2017,10.58,12.9,75,0
CIN,2017,23.53,-1.5099999999999996,68,0
LAD,2017,28.28,19.79,104,0
ARI,2017,20.25,26.39,93,0
COL,2017,15.17,23.61,87,0
SDP,2017,9.19,5.25,71,0
SFG,2017,3.1399999999999992,14.0,64,0
BOS,2018,31.509999999999998,24.49,108,1
NYY,2018,33.93,16.34,100,0
TBR,2018,29.98,15.190000000000001,90,0
TOR,2018,15.93,7.66,73,0
BAL,2018,8.38,4.63,47,0
CLE,2018,27.36,23.53,91,0
MIN,2018,17.990000000000002,9.19,78,0
DET,2018,4.16,12.83,64,0
CHW,2018,13.43,4.26,62,0
KCR,2018,9.48,7.53,58,0
HOU,2018,29.38,28.32,103,0
OAK,2018,30.14,18.45,97,0
SEA,2018,22.37,14.4,89,0
LAA,2018,22.49,13.99,80,0
TEX,2018,13.2,14.44,67,0
ATL,2018,25.5,14.92,90,0
WSN,2018,19.04,19.4,82,0
PHI,2018,4.47,23.26,80,0
NYM,2018,17.4,14.610000000000001,77,0
MIA,2018,8.68,-0.84,63,0
MIL,2018,30.72,7.91,96,0
CHC,2018,29.95,15.86,95,0
STL,2018,20.22,12.649999999999999,88,0
PIT,2018,17.79,12.82,82,0
CIN,2018,14.1,7.97,67,0
LAD,2018,34.91,15.98,92,0
COL,2018,14.370000000000001,20.490000000000002,91,0
ARI,2018,19.47,12.85,82,0
SFG,2018,7.99,13.74,73,0
SDP,2018,13.35,3.1399999999999997,66,0
NYY,2019,34.96,15.07,103,0
TBR,2019,25.979999999999997,19.78,96,0
BOS,2019,27.42,15.69,84,0
TOR,2019,17.04,7.95,67,0
BAL,2019,11.74,4.79,54,0
MIN,2019,33.02,16.96,101,0
CLE,2019,21.98,19.14,93,0
CHW,2019,13.12,10.41,72,0
KCR,2019,8.27,9.0,59,0
DET,2019,-6.17,14.379999999999999,47,0
HOU,2019,44.910000000000004,22.97,107,0
OAK,2019,32.5,21.23,97,0
TEX,2019,10.33,23.1,78,0
LAA,2019,17.529999999999998,9.11,72,0
SEA,2019,18.66,5.74,68,0
ATL,2019,20.75,17.709999999999997,97,0
WSN,2019,28.34,19.37,93,1
NYM,2019,22.45,16.46,86,0
PHI,2019,20.330000000000002,7.88,81,0
MIA,2019,0.5500000000000005,8.73,57,0
STL,2019,26.16,15.36,91,0
MIL,2019,18.95,14.549999999999999,89,0
CHC,2019,26.38,16.11,84,0
CIN,2019,8.69,21.130000000000003,75,0
PIT,2019,11.83,3.84,69,0
LAD,2019,34.96,15.809999999999999,106,0
ARI,2019,23.58,10.99,85,0
SFG,2019,7.93,12.47,77,0
COL,2019,15.26,5.13,71,0
SDP,2019,9.43,9.219999999999999,70,0
