Unnamed: 0,year,team,wins
0,1998,147,114
1,1998,111,92
2,1998,141,88
3,1998,110,79
4,1998,139,63
5,1998,114,89
6,1998,145,80
7,1998,118,72
8,1998,142,70
9,1998,116,65
10,1998,140,88
11,1998,108,85
12,1998,136,76
13,1998,133,74
14,1998,144,106
15,1998,121,88
16,1998,143,75
17,1998,120,65
18,1998,146,54
19,1998,117,102
20,1998,112,90
21,1998,138,83
22,1998,113,77
23,1998,158,74
24,1998,134,69
25,1998,135,98
26,1998,137,89
27,1998,119,83
28,1998,115,77
29,1998,109,65
0,2004,147,101
1,2004,111,98
2,2004,110,78
3,2004,139,70
4,2004,141,67
5,2004,142,92
6,2004,145,83
7,2004,114,80
8,2004,116,72
9,2004,118,58
10,2004,108,92
11,2004,133,91
12,2004,140,89
13,2004,136,63
14,2004,144,96
15,2004,143,86
16,2004,146,83
17,2004,121,71
18,2004,120,67
19,2004,138,105
20,2004,117,92
21,2004,112,89
22,2004,113,76
23,2004,134,72
24,2004,158,67
25,2004,119,93
26,2004,137,91
27,2004,135,87
28,2004,115,68
29,2004,109,51
0,2005,147,95
1,2005,111,95
2,2005,141,80
3,2005,110,74
4,2005,139,67
5,2005,145,99
6,2005,114,93
7,2005,142,83
8,2005,116,71
9,2005,118,56
10,2005,108,95
11,2005,133,88
12,2005,140,79
13,2005,136,69
14,2005,144,90
15,2005,143,88
16,2005,121,83
17,2005,146,83
18,2005,120,81
19,2005,138,100
20,2005,117,89
21,2005,158,81
22,2005,112,79
23,2005,113,73
24,2005,134,67
25,2005,135,82
26,2005,109,77
27,2005,137,75
28,2005,119,71
29,2005,115,67
0,2006,147,97
1,2006,141,87
2,2006,111,86
3,2006,110,70
4,2006,139,61
5,2006,142,96
6,2006,116,95
7,2006,145,90
8,2006,114,78
9,2006,118,62
10,2006,133,93
11,2006,108,89
12,2006,140,80
13,2006,136,78
14,2006,121,97
15,2006,143,85
16,2006,144,79
17,2006,146,78
18,2006,120,71
19,2006,138,83
20,2006,117,82
21,2006,113,80
22,2006,158,75
23,2006,134,67
24,2006,112,66
25,2006,135,88
26,2006,119,88
27,2006,137,76
28,2006,109,76
29,2006,115,76
0,2007,111,96
1,2007,147,94
2,2007,141,83
3,2007,110,69
4,2007,139,66
5,2007,114,96
6,2007,116,88
7,2007,142,79
8,2007,145,72
9,2007,118,69
10,2007,108,94
11,2007,136,88
12,2007,133,76
13,2007,140,75
14,2007,143,89
15,2007,121,88
16,2007,144,84
17,2007,120,73
18,2007,146,71
19,2007,112,85
20,2007,158,83
21,2007,138,78
22,2007,117,73
23,2007,113,72
24,2007,134,68
25,2007,109,90
26,2007,115,90
27,2007,135,89
28,2007,119,82
29,2007,137,71
0,2008,139,97
1,2008,111,95
